hyphen-ca,
hyphen-cy,
hyphen-da,
hyphen-de,
hyphen-el,
hyphen-es,
hyphen-eu,
hyphen-fa,
hyphen-fo,
hyphen-fr,
hyphen-ga,
hyphen-gl,
hyphen-grc,
hyphen-gu,
hyphen-hi,
hyphen-hsb,
hyphen-hu,
hyphen-ia,
hyphen-id,
hyphen-is,
hyphen-it,
hyphen-kn,
hyphen-ku,
hyphen-lt,
hyphen-mi,
hyphen-ml,
hyphen-mn,
hyphen-mr,
hyphen-nl,
hyphen-or,
hyphen-pa,
hyphen-pl,
hyphen-pt,
hyphen-ro,
hyphen-ru,
hyphen-sa,
hyphen-sk,
hyphen-sl,
hyphen-sv,
hyphen-ta,
hyphen-te,
hyphen-tk,
hyphen-uk,
i2c-tools,
ibus,
ibus-hangul,
ibus-kkc,
ibus-libpinyin,
ibus-libzhuyin,
ibus-m17n,
ibus-qt,
ibus-rawcode,
ibus-table,
ibus-typing-booster,
ibutils,
icedtea-web,
infinipath-psm,
initial-setup,
initscripts,
inkscape,
iotop,
ipa-gothic-fonts,
ipa-mincho-fonts,
ipa-pgothic-fonts,
ipa-pmincho-fonts,
iperf3,
iproute,
iprutils,
iptables,
iputils,
ipvsadm,
ipxe,
irqbalance,
irssi,
iscsi-initiator-utils,
isns-utils,
ixpdimm_sw,
jansson,
jbigkit,
jomolhari-fonts,
jose,
julietaula-montserrat-fonts,
kacst-fonts,
keepalived,
kernel,
keycloak-httpd-client-install,
keyutils,
khmeros-fonts,
krb5,
ksh,
kubernetes,
kurdit-unikurd-web-fonts,
lapack,
ledmon,
lftp,
libaio,
libcomps,
libcxl,
libdbi,
libdbi-drivers,
libdnf,
liberation-fonts,
libfabric,
libgcrypt,
libgovirt,
libguestfs,
libhbaapi,
libhbalinux,
libhugetlbfs,
libica,
libinvm-cim,
libinvm-cli,
libinvm-i18n,
libkeepalive,
libmbim,
libndp,
libnetfilter_conntrack,
libnetfilter_queue,
libnfsidmap,
libnftnl,
libnl3,
libnsl2,
libpaper,
libpcap,
